Layer_Name,Layer_Type,Parameters_Count
GLOBAL_SUMMARY,Total_Parameters,247413
GLOBAL_SUMMARY,Trainable_Parameters,247413
GLOBAL_SUMMARY,Input_Shape,"(1, 14, 1000)"
GLOBAL_SUMMARY,Conv_Input_Shape,"(1, 14, 40, 201)"
GLOBAL_SUMMARY,Forward_FLOPs_per_sample,275453952
transform.amplitude_to_DB,AmplitudeToDB,0
transform.MelSpectrogram.spectrogram,Spectrogram,0
transform.MelSpectrogram.mel_scale,MelScale,0
freq_mask,FrequencyMasking,0
time_mask,TimeMasking,0
blocks.0.0,Conv2d,4064
blocks.0.1,BatchNorm2d,64
blocks.0.2,ReLU,0
blocks.0.3,MaxPool2d,0
blocks.1.0,Conv2d,18496
blocks.1.1,BatchNorm2d,128
blocks.1.2,ReLU,0
blocks.1.3,MaxPool2d,0
blocks.2.0,Conv2d,73856
blocks.2.1,BatchNorm2d,256
blocks.2.2,ReLU,0
blocks.2.3,MaxPool2d,0
blocks.3.0,Conv2d,147584
blocks.3.1,BatchNorm2d,256
blocks.3.2,ReLU,0
blocks.3.3,MaxPool2d,0
global_pool,AdaptiveAvgPool2d,0
dropout,Dropout,0
fc,Linear,2709
