Layer_Name,Layer_Type,Parameters_Count
GLOBAL_SUMMARY,Total_Parameters,909816
GLOBAL_SUMMARY,Trainable_Parameters,909816
GLOBAL_SUMMARY,Input_Shape,"(1, 14, 1000)"
GLOBAL_SUMMARY,Conv_Input_Shape,"(1, 14, 33, 201)"
GLOBAL_SUMMARY,Forward_FLOPs_per_sample,296278912
transform,Spectrogram,0
freq_mask,FrequencyMasking,0
time_mask,TimeMasking,0
blocks.0.0,Conv2d,4064
blocks.0.1,BatchNorm2d,64
blocks.0.2,ReLU,0
blocks.0.3,MaxPool2d,0
blocks.1.0,Conv2d,18496
blocks.1.1,BatchNorm2d,128
blocks.1.2,ReLU,0
blocks.1.3,MaxPool2d,0
blocks.2.0,Conv2d,73856
blocks.2.1,BatchNorm2d,256
blocks.2.2,ReLU,0
blocks.2.3,MaxPool2d,0
blocks.3.0,Conv2d,147584
blocks.3.1,BatchNorm2d,256
blocks.3.2,ReLU,0
blocks.3.3,MaxPool2d,0
dropout,Dropout,0
input_proj,Identity,0
input_norm,LayerNorm,256
pos_encoding,SinusoidalPositionalEncoding,0
transformer.layers.0.self_attn,MultiheadAttention,49536
transformer.layers.0.self_attn.out_proj,NonDynamicallyQuantizableLinear,16512
transformer.layers.0.linear1,Linear,49536
transformer.layers.0.dropout,Dropout,0
transformer.layers.0.linear2,Linear,49280
transformer.layers.0.norm1,LayerNorm,256
transformer.layers.0.norm2,LayerNorm,256
transformer.layers.0.dropout1,Dropout,0
transformer.layers.0.dropout2,Dropout,0
transformer.layers.1.self_attn,MultiheadAttention,49536
transformer.layers.1.self_attn.out_proj,NonDynamicallyQuantizableLinear,16512
transformer.layers.1.linear1,Linear,49536
transformer.layers.1.dropout,Dropout,0
transformer.layers.1.linear2,Linear,49280
transformer.layers.1.norm1,LayerNorm,256
transformer.layers.1.norm2,LayerNorm,256
transformer.layers.1.dropout1,Dropout,0
transformer.layers.1.dropout2,Dropout,0
transformer.layers.2.self_attn,MultiheadAttention,49536
transformer.layers.2.self_attn.out_proj,NonDynamicallyQuantizableLinear,16512
transformer.layers.2.linear1,Linear,49536
transformer.layers.2.dropout,Dropout,0
transformer.layers.2.linear2,Linear,49280
transformer.layers.2.norm1,LayerNorm,256
transformer.layers.2.norm2,LayerNorm,256
transformer.layers.2.dropout1,Dropout,0
transformer.layers.2.dropout2,Dropout,0
transformer.layers.3.self_attn,MultiheadAttention,49536
transformer.layers.3.self_attn.out_proj,NonDynamicallyQuantizableLinear,16512
transformer.layers.3.linear1,Linear,49536
transformer.layers.3.dropout,Dropout,0
transformer.layers.3.linear2,Linear,49280
transformer.layers.3.norm1,LayerNorm,256
transformer.layers.3.norm2,LayerNorm,256
transformer.layers.3.dropout1,Dropout,0
transformer.layers.3.dropout2,Dropout,0
transformer.norm,LayerNorm,256
fc,Linear,3096
